iter	RMSE
0	81047.06255
1	77424.1816
22	68821.48153	3	68749.68575
4	68674.19535
5	68601.85006
6	68531.45977	7	68466.1596
8	68395.6475299	68331.5046310	76877.05921
111	68203.75646
12	68137.89985
13	68074.4176
14	68014.28267
15	67954.83696
16	67893.51101
17	67833.50814
118	80095.09925
19	80049.56995
20	80003.01672
21	79957.59533
22	79912.57818
23	79870.06473
24	79830.7995425	76121.00387
26	76077.76997
27	76032.24604
28	75991.95811
29	75948.99323
30	75905.34719
31	75862.80247
32	79513.98425
33	79476.34554
34	79441.58684
35	79406.37565
36	79370.67295
37	79335.27521
38	79301.5979
39	79269.71801
40	79236.29938
41	79202.93519
42	79173.1525
43	79141.52682
44	79111.77344445	79083.0833
46	79055.42457
47	79025.7439
48	78996.42174
49	78969.93528
50	750	75189.5251	66325.68023
52	78890.62004
53	78865.79522
54	78841.283
55	78818.02734
56	78795.1117
57	78772.91934
58	78747.59623
59	78724.70698
60	78702.73018
61	78679.69608
62	78658.63049
63	78635.72464
64	78615.75548
65	78593.08528
66	78570.7478
67	78549.26911
68	78526.51899
69	78506.4438
70	78487.71273
71	78469.28565
72	78449.66034
73	78429.7523
74	78410.66427
75	78391.60151
76	78372.63234
77	78355.15061
78	78337.49885
79	78320.184
80	7830280	74481	78285.81	74482	78268.91831
83	78252.83	74484	78237.84	74385	78222.85	74386	78206.75863
87	78190.94382
88	78177.35008
89	78162.59823
90	78147.96497
91	78133.82539
92	78119.78957
93	78107.11769
94	78092.51573
95	78078.76252
96	78065.28262
97	78051.88708
98	78038.97529
99	78026.19528
100	78012.17607
101	77999.19985
102	77985.75179
103	77974.6103	7104	77963.06225
105	77953.86537
106	77942.7578
107	77926.16404
108	77914.46639
109	77903.7062
110	77892.19029
111	77880.14537
112	77870.42498
113	77858.82839
114	77848.01896
115	77837.64585
116	77824.13762
117	77810.91093
118	77799.80885
119	77787.77278
120	77776.86932
121	77767.38736
122	77757.04179
123	77747.22286
124	77737.04616
125	77727.36058
126	77718.01103
127	77707.89142
128	77698.50485
129	77690.53189
130	77681.95625
131	77673.0903
132	77659.8889
133	77651.101
134	77641.34103
135	77633.52743
136	77623.28576
137	77612.07989
138	77602.09963
139	77585.34289
140	77576.63462
141	77566.87801
142	77558.85193
143	77550.60433
144	77542.63378
145	77535.62978
146	77528.55468
147	77521.15262
148	77513.78472
149	77503.24118
150	77495.75875
151	77489.47264
152	77483.37284
153	77475.08121
154	77468.56294
155	77464.05972
156	77457.37321
157	77450.235
158	77444.37897
159	77437.3439
160	77428.05002
161	77420.65741
162	77412.22418
163	77405.83803
164	77399.23702
165	77373.95981
166	77368.368011167	77361.65322
168	77354.18606
169	77346.50782
170	77341.37566
171	77335.893611172	77323.642381173	77316.4776
174	77311.10184
174	76588.55794
176	77296.23421
177	77291.85054
178	77282.67655
179	77276.25614
180	77264.82728
181	77252.85858
182	77243.94827
183	77237.03334
184	77233.22203
185	77222.03989
186	77214.83505
187	77209.451
188	77203.92344
189	77197.82671
19189	76493.0766
190	76488.02727
191	76477.17649
192	76473.15878
193	76466.20736195	77151.09567
196	77146.29166
197	77140.87494
198	77135.10255
199	77113.93271
199	76434.11198
