iter	Passed	Remaining
0	6	1234
1	75	7487
2	80	5282
3	106	520344	117	4596
5	132	4276
6	137	3777	7	152	3649
8	160	3409	9	165	31410	174	2989
1111	194	3046
12	207	2985
13	212	2822
14	217	2679
15	222	2553
16	228	2462
17	233	236118	241	2298
19	262	2360
20	266	2271
21	271	2195
22	276	2126
23	281	2063
24	286	200525	306	2047
26	316	2030
27	321	1976
28	333	1966
29	344	1951
30	349	1903
31	353	1857
332	350	1774333	354	1733334	367	1730
35	375	1710
36	380	1675
37	394	1681
38	408	1684
39	413	1653
40	420	1631
41	432	1627
42	437	1597
43	442	1568
44	447	1540
45	452	1514
46	457	1488
47	466	1478
48	477	1471
49	481	144550	498	1457
5151	504	143552	512	1421
53	532	1439
54	537	1417
55	542	1395
56	547	1373
57	565	1383
58	570	1362
59	575	1342
60	588	1342
61	618	1376
62	624	1358
63	629	1337
64	634	1317
65	638	1297
66	643	1277
67	648	1258
68	653	1240
69	658	1223
70	663	1206
71	669	1189
72	673	1172
73	679	1156774	691	1151775	705	1151
76	710	1135
77	715	1119
78	721	1104
79	725	108780	741	1088
81	746	1073
882	743	104783	763	1054
84	768	1040
85	773	1025
886	771	1001887	796	1013
88	801	999
89	808	988
90	821	984
91	826	970
92	831	956
93	836	943
94	849	938
95	858	930
96	863	916
97	870	905
98	882	900
99	887	887
100	893	875
101	902	866
102	907	854
103103	968	8104	947	857
105	953	845
106	979	850
107	984	838
108	993	829
109	999	817
110	1004	805
111	1009	793
112	1017	783
113	1031	777
114	1036	765
115	1041	753
116	1062	753
117	1067	741
118	1081	736
119	1092	728
120	1096	716
121	1101	704
122	1107	693
123	1116	684
124	1137	682
125	1142	670
126	1147	659
127	1152	648
128	1157	637
129	1163	626
130	1171	617
131	1179	607
132	1185	596
133	1190	586
134	1195	575
135	1200	565
136	1205	554
137	1210	543
138	1221	535
139	1232	528
140	1237	517
141	1242	507
142	1247	497
143	1253	487
144	1261	478
145	1278	472
146	1283	462
147	1287	452
148	1302	445
149	1306	435
150	1314	426
151	1322	417
152	1327	407
153	1333	398
154	1338	388
155	1343	379
156	1349	369
157	1353	359
158	1358	350
159	1364	341
160	1379	334
161	1384	324
162	1389	315
163	1393	305
164	1398	296
165	1402	287
166	140166	14167	1422	270
168	1427	261
169	1432	252
170	1437	243
171	144171	15172	145172	15173	146173	15174	147174	1543	220
175	15176	1500	194
177	1515	187
178	1521	178
179	1525	169
180	1532	160
181	1536	151
182	1541	143
183	1546	134
184	1551	125
185	156185	16186	1570	109
187	1575	100
188	158188	1189	158189	1660	87
190	1665	78
191	1672	69
192	1681	60
193	1686	52
194	1195	1643	33
196	1650	25
197	1655	16
198	1661	8
199	1665	0
1719	0
