,Unnamed: 0,carat,cut,color,clarity,depth,table,x,y,z,price
14768,41142,0.5,Very Good,G,SI1,62.1,56.0,5.05,5.09,3.15,1197
33287,38674,0.55,Very Good,I,SI2,63.1,58.0,5.15,5.19,3.26,1041
2181,29758,0.3,Ideal,D,SI1,62.0,56.0,4.34,4.3,2.68,709
27850,14101,1.28,Ideal,I,SI2,62.5,59.0,6.88,6.95,4.32,5719
13752,31404,0.3,Ideal,G,VVS1,61.7,54.0,4.32,4.34,2.67,764
24392,46910,0.56,Fair,F,VS2,57.0,67.0,5.49,5.36,3.09,1814
7680,27947,0.31,Good,G,SI1,63.3,57.0,4.3,4.33,2.73,431
25503,37875,0.32,Ideal,E,IF,60.6,60.0,4.43,4.45,2.69,1004
37984,2763,0.8,Ideal,E,SI2,60.9,57.0,6.0,6.03,3.66,3251
7133,2487,0.8,Ideal,D,SI1,61.7,56.0,5.96,6.0,3.69,3195
37335,10848,1.01,Ideal,D,SI2,62.6,56.0,6.4,6.34,3.99,4872
3548,3833,0.78,Very Good,G,VS1,61.5,55.0,5.92,5.97,3.66,3472
7920,37586,0.32,Ideal,F,VVS1,61.7,56.0,4.42,4.4,2.72,990
38605,44314,0.33,Very Good,G,SI1,61.2,56.0,4.44,4.46,2.72,521
21600,28424,0.39,Ideal,H,VS2,62.0,54.4,4.67,4.72,2.91,670
20441,25800,2.01,Very Good,I,VS1,63.5,59.0,8.03,7.93,5.07,14792
8777,21070,1.02,Very Good,F,VVS2,59.9,57.0,6.54,6.59,3.93,9246
19334,2288,0.9,Ideal,J,VS2,61.3,57.0,6.16,6.24,3.8,3160
27067,24726,2.2,Premium,J,SI2,60.9,60.0,8.42,8.34,5.1,13065
8206,12075,1.01,Ideal,H,SI1,61.8,54.0,6.48,6.44,3.99,5158
24576,11152,1.01,Premium,H,SI1,61.8,60.0,6.44,6.38,3.96,4943
18869,52106,0.47,Ideal,D,VVS1,62.0,54.0,4.99,5.01,3.1,2460
12889,50344,0.85,Good,G,SI1,64.2,58.0,6.01,5.92,3.83,2244
36553,40475,0.52,Premium,I,VS1,59.6,60.0,5.17,5.14,3.07,1141
26584,35336,0.32,Ideal,G,IF,61.7,57.0,4.39,4.42,2.72,898
17726,43715,0.61,Fair,I,VS2,57.4,60.9,5.6,5.65,3.23,1437
32301,30382,0.34,Very Good,F,VS2,62.5,57.5,4.4,4.45,2.77,730
35147,47635,0.51,Ideal,D,VS2,61.8,55.0,5.18,5.15,3.19,1882
15252,12095,1.09,Premium,D,SI2,61.2,60.0,6.6,6.64,4.05,5164
3753,15805,1.07,Ideal,G,VS2,61.1,59.0,6.62,6.57,4.03,6324
22071,48752,0.5,Ideal,F,VVS2,59.9,58.0,5.14,5.17,3.09,2016
40307,30111,0.32,Ideal,G,VS2,61.4,55.0,4.46,4.4,2.72,720
15341,39820,0.3,Premium,E,IF,61.9,58.0,4.3,4.26,2.65,1097
26970,10041,0.26,Very Good,G,VS1,61.9,56.0,4.07,4.1,2.53,418
14983,27006,2.01,Very Good,E,SI2,60.6,59.0,8.11,8.25,4.96,17118
10571,4825,0.9,Premium,F,SI2,61.5,59.0,6.23,6.2,3.82,3704
12098,47316,0.23,Very Good,E,VVS2,61.2,58.0,3.93,3.98,2.42,530
23156,47682,0.56,Ideal,E,VS2,61.4,57.0,5.35,5.31,3.27,1882
26454,24935,2.01,Ideal,E,SI2,62.1,57.0,8.0,7.88,4.93,13387
22982,21094,1.27,Ideal,G,VS1,59.6,57.0,7.06,7.09,4.22,9262
32846,38677,0.3,Ideal,D,VVS2,61.6,56.0,4.32,4.35,2.67,1041
33135,9777,0.9,Very Good,H,VVS1,62.1,59.0,6.17,6.19,3.84,4664
621,8206,0.7,Ideal,D,VVS2,62.0,53.4,5.69,5.72,3.54,4369
18418,49764,0.53,Ideal,F,VVS2,60.8,56.0,5.22,5.24,3.18,2160
2111,21171,1.2,Very Good,F,VS2,62.9,57.0,6.78,6.71,4.24,9331
26326,40799,0.43,Ideal,F,VVS2,61.9,56.0,4.82,4.87,3.0,1169
21856,17151,1.71,Good,G,SI2,63.7,57.0,7.54,7.5,4.79,6847
37134,10283,1.11,Premium,G,SI2,61.2,59.0,6.74,6.66,4.1,4755
17631,35748,0.3,Premium,D,VS2,62.5,58.0,4.29,4.26,2.67,911
36530,14693,1.0,Ideal,D,SI1,59.9,56.0,6.51,6.54,3.91,5929
18810,3361,0.3,Ideal,G,SI2,60.6,56.0,4.35,4.4,2.65,405
25501,45601,0.47,Good,E,VVS1,64.0,62.0,4.9,4.97,3.16,1690
31643,33205,0.33,Ideal,G,VVS1,61.4,55.0,4.46,4.48,2.74,820
9687,32897,0.36,Ideal,E,SI1,62.0,57.0,4.57,4.53,2.82,810
22726,18543,1.52,Premium,H,SI1,62.0,60.0,7.36,7.28,4.54,7559
9189,29832,0.31,Ideal,G,VVS1,61.3,60.0,4.33,4.38,2.67,710
8829,9473,1.03,Premium,H,SI1,61.1,59.0,6.56,6.5,3.99,4603
29690,22658,1.01,Very Good,E,VVS1,62.3,56.0,6.41,6.47,4.01,10704
17442,28827,0.41,Premium,D,SI2,61.9,58.0,4.71,4.73,2.92,683
41200,10396,0.31,Very Good,G,SI1,63.1,59.0,4.33,4.29,2.72,593
6065,45286,0.51,Premium,G,VS1,62.1,58.0,5.12,5.09,3.17,1662
3105,43412,0.53,Premium,H,VS2,61.4,52.0,5.29,5.26,3.24,1412
39612,14849,1.25,Ideal,J,VVS2,62.1,56.0,6.81,6.84,4.24,5980
21165,31160,0.41,Very Good,E,SI1,62.4,55.0,4.74,4.78,2.97,755
8913,51236,0.7,Ideal,I,VVS2,62.5,54.0,5.68,5.71,3.56,2353
15747,30939,0.24,Very Good,H,VVS1,61.3,56.0,4.01,4.04,2.46,449
5478,22274,1.52,Premium,H,SI1,62.5,58.0,7.34,7.28,4.57,10330
8193,11105,1.13,Ideal,H,SI2,62.1,55.0,6.65,6.68,4.14,4932
7327,47942,0.51,Ideal,G,VVS2,62.4,56.0,5.1,5.13,3.19,1916
43069,29127,0.3,Very Good,G,VVS1,60.7,57.0,4.35,4.37,2.65,691
21865,47477,0.71,Very Good,J,SI1,59.1,61.0,5.82,5.85,3.45,1861
24554,35913,0.39,Ideal,F,SI1,61.3,56.0,4.69,4.72,2.88,919
9889,10285,1.11,Premium,G,SI2,61.5,58.0,6.67,6.6,4.08,4755
7503,11674,1.0,Very Good,F,SI1,61.8,58.0,6.37,6.44,3.96,5058
42645,25945,2.13,Premium,J,VS2,59.6,59.0,8.43,8.37,5.01,15110
17411,7790,0.9,Very Good,E,SI2,59.9,57.0,6.25,6.34,3.77,4288
14723,27505,2.09,Very Good,I,VS1,62.9,57.0,8.09,8.13,5.1,18215
30460,6877,1.01,Premium,I,SI1,59.9,59.0,6.46,6.42,3.86,4129
22932,17423,1.52,Good,J,VS2,63.1,61.0,7.19,7.23,4.55,6982
14686,26808,2.03,Very Good,I,SI1,62.2,59.0,8.03,8.09,5.01,16693
6923,4041,1.0,Ideal,J,SI2,62.1,56.0,6.41,6.34,3.96,3528
35645,20028,0.3,Very Good,H,SI1,61.2,62.0,4.28,4.31,2.63,421
11756,43416,0.57,Ideal,D,SI2,61.4,56.0,5.33,5.38,3.29,1413
21013,5176,0.83,Very Good,I,VVS1,61.8,56.0,6.0,6.03,3.72,3774
20235,23226,1.5,Premium,E,SI1,61.5,58.0,7.28,7.36,4.5,11233
6424,32453,0.36,Very Good,D,VS1,62.8,55.0,4.52,4.55,2.85,793
2296,25620,1.94,Very Good,I,VS2,60.2,58.0,8.04,8.1,4.86,14489
29649,36527,0.42,Ideal,I,VVS1,60.2,57.0,4.88,4.85,2.93,945
17969,11866,1.01,Very Good,F,SI1,62.0,56.0,6.41,6.47,3.99,5107
40572,52012,0.85,Premium,G,SI2,62.0,58.0,6.08,6.04,3.76,2444
17617,44422,0.75,Premium,J,SI2,62.9,56.0,5.76,5.72,3.61,1588
33585,4259,0.9,Premium,I,VS1,62.2,58.0,6.18,6.13,3.83,3580
1034,37781,0.38,Very Good,E,VS1,61.5,58.0,4.64,4.69,2.87,1000
5262,36684,0.4,Ideal,E,VS1,62.4,54.0,4.73,4.75,2.96,951
19365,51850,0.7,Premium,F,SI1,61.9,59.0,5.71,5.69,3.53,2423
31149,27742,2.04,Premium,H,SI1,58.1,60.0,8.37,8.28,4.84,18795
9040,11501,0.71,Ideal,F,VVS1,61.0,56.0,5.77,5.8,3.53,5019
30085,33746,0.31,Ideal,F,VVS1,62.0,55.0,4.34,4.37,2.7,840
4932,15017,1.0,Premium,G,VS2,60.6,60.0,6.4,6.3,3.85,6048
24727,20881,1.5,Ideal,H,SI2,62.4,57.0,7.29,7.33,4.56,9104
